rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,data,time
4,Great Quality!,Easy to swallow and seems to be working well.,B000142ZVQ,B000142ZVQ,A2K23JLH4JXQ43Q5YQ4H53JQLX6YQ,2012-03-15 14:25:45,2,True,2012-03-15,14:25
5,Does the job,Happy with the purchase. No complaints.,B00015RD42,B00015RD42,A3E45X6HJ623Q543Q5G45H6H456YQ,2018-06-09 09:07:18,1,True,2018-06-09,09:07
4,Good value,Seems to have all the right ingredients. Good price too.,B00016LXO6,B00016LXO6,A3546H5H45G45G45G45H6H45G45GQ,2014-11-22 21:34:56,0,True,2014-11-22,21:34
5,Excellent!,Really noticed a difference in my energy levels.,B00017M5OQ,B00017M5OQ,A231456H45G45G45G45H6H45G45WQ,2016-05-17 12:13:21,3,True,2Multiplier016-05-17,12:13
4,Happy with the purchase,Seems to be helping with my overall health.,B00018N92Q,B00018N92Q,A3456H45G45G45G45H6H45G45G4ZQ,2013-09-03 17:46:32,2,True,2013-09-03,17:46
5,Five Stars,No complaints. Will buy again.,B00019G34Q,B00019G34Q,A34564H45G45G45G45H6H45G45GQ,2015-12-14 08:21:55,0,True,2015-12-14,08:21
4,Good supplement,Seems to be working well. No negative side effects.,B00010KL6Q,B00010KL6Q,A234356H45G45G45G45H6H45G45YQ,2017-04-28 11:58:14,1,True,2017-04-28,11:58
5,Highly recommend,Noticeable boost in energy and mood.,B00011P78Q,B00011P78Q,A34567H45G45G45G45H6H45G45G2Q,2019-08-12 18:35:43,4,True,2019-08-12,18:35
4,Good so far,Only been taking it for a week but seems to be helping.,B00012ND56,B00012ND56,A3456H445G45G45G45H6H45G45GQ,2011-07-01 06:17:25,1,True,2011-07-01,06:17
5,Five Stars,Exactly what I was looking for.,B00013Z0Z6,B00013Z0Z6,A234564H45G45G45G45H6H45G45WQ,2012-12-26 23:44:32,0,True,2012-12-26,23:44
