Here are 10 synthetic examples of CSV data for health supplements:

rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,data,time
3,Bio-Gain BCAA,Absorbed into bloodstream quickly,B00015E1V2,B00015E1V2,ASGVFFLJWAQ3ULNNKF4LXID2RVSQ,2015-05-17 12:47:35,1,True,2015-05-17,12:47
4,Vitamin E Oil,Good product for skin care,B00016F7P0,B00016F7P0,AG3BSKXHDGP6E3EGQD2SXCK6KFQQ,2009-06-10 20:02:19,1,True,2009-06-10,20:02
4,GNC B Vitamins,Came as expected,B00015BZ9Y,B00015BZ9Y,AHG2WKFD4LXPC46WWC6JMQGX52JA,2015-08-25 18:34:14,1,True,2015-08-25,18:34
5,Protein Powder,Pure and great taste,B00017WQ7K,B00017WQ7K,ASGVFFLJWAQ3ULNNKF4LXID2RVSQ,2009-07-14 09:01:22,1,True,2009-07-14,09:01
5,Multivitamin Tablets,Good value for money,B00015E7VX,B00015E7VX,AG3BSKXHDGP6E3EGQD2SXCK6KFQQ,2015-02-20 16:45:53,1,True,2015-02-20,16:45
4,Creatine Monohydrate,Works as expected,B00017G7R8,B00017G7R8,AHG2WKFD4LXPC46WWC6JMQGX52JA,2009-03-15 14:21:02,1,True,2009-03-15,14:21
5,Vitamin D3 Oil,Pure and potent,B00016F7P0,B00016F7P0,ASGVFFLJWAQ3ULNNKF4LXID2RVSQ,2015-10-01 22:50:19,1,True,2015-10-01,22:50
3,Glutamine Powder,Came as expectedly,B00015BZ9Y,B00015BZ9Y,AG3BSKXHDGP6E3EGQD2SXCK6KFQQ,2009-09-18 17:58:42,1,True,2009-09-18,17:58
4,GNC Pro Performance,Best product I have tried,B00017WQ7K,B00017WQ7K,ASGVFFLJWAQ3ULNNKF4LXID2RVSQ,2015-01-23 20:03:15,1,True,2015-01-23,20:03
5,HMB Supplement,Great value for money,B00015E1V2,B00015E1V2,AG3BSKXHDGP6E3EGQD2SXCK6KFQQ,2009-05-02 16:19:56,1,True,2009-05-02,16:19
